epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.707,1.47387,2.73966,1.85058,1.57734,0.14907,0.34462,0.09734,0.03479,0.15779,0.28615,0.11582,0.04347,2.13799,3.52504,8.38075,3.02915,0.000664466,0.000664466,0.000664466
2,216.549,1.65503,2.97343,1.75674,1.71696,0.3966,0.32615,0.29853,0.14321,0.39847,0.30154,0.25991,0.10418,1.76762,4.02269,4.7783,2.27523,0.00131795,0.00131795,0.00131795
3,323.361,1.59003,2.85257,1.6185,1.67178,0.4985,0.32923,0.35801,0.19568,0.47628,0.32308,0.34272,0.18109,1.7002,3.46701,2.99139,2.13292,0.00195824,0.00195824,0.00195824
4,430.346,1.48396,2.66007,1.51606,1.59485,0.43371,0.41005,0.41312,0.25048,0.43106,0.41538,0.39735,0.21613,1.5354,3.03268,2.12252,2.07628,0.0019406,0.0019406,0.0019406
5,537.793,1.39568,2.51671,1.40582,1.54515,0.46436,0.35385,0.3271,0.17882,0.42934,0.35385,0.31242,0.14951,1.61501,3.23331,3.15275,2.05213,0.0019208,0.0019208,0.0019208
6,640.231,1.32864,2.40136,1.31488,1.47478,0.53105,0.46462,0.47849,0.30481,0.53525,0.43692,0.45738,0.26029,1.35498,2.57514,1.46428,1.81082,0.001901,0.001901,0.001901
7,746.901,1.28048,2.32912,1.25862,1.4482,0.49567,0.54769,0.52393,0.35414,0.48576,0.52899,0.51272,0.29928,1.24124,2.36615,1.33065,1.69602,0.0018812,0.0018812,0.0018812
8,855.761,1.23509,2.20769,1.22312,1.42077,0.64994,0.51416,0.58226,0.36548,0.63197,0.49667,0.55508,0.31497,1.35506,2.22017,1.48226,1.85153,0.0018614,0.0018614,0.0018614
9,964.398,1.18807,2.14039,1.20767,1.39242,0.60751,0.55385,0.59525,0.40817,0.59333,0.53231,0.56975,0.33792,1.12578,2.2969,1.10165,1.57626,0.0018416,0.0018416,0.0018416
10,1072.83,1.14725,2.06047,1.13149,1.34911,0.75029,0.50849,0.63122,0.44764,0.72781,0.50462,0.61686,0.37396,1.07235,2.19429,1.05346,1.54216,0.0018218,0.0018218,0.0018218
11,1181.16,1.13533,1.98529,1.10888,1.35613,0.64427,0.55692,0.61281,0.42302,0.61614,0.56,0.59758,0.36008,1.09403,2.22578,1.19009,1.57906,0.001802,0.001802,0.001802
12,1283.87,1.08006,1.93684,1.04159,1.31913,0.72191,0.59692,0.66864,0.45273,0.71534,0.57231,0.64782,0.38008,1.09658,2.09032,0.9881,1.57927,0.0017822,0.0017822,0.0017822
13,1393.26,1.06326,1.88474,1.0276,1.30256,0.73751,0.56194,0.66366,0.46572,0.72539,0.53643,0.64676,0.40069,1.03008,1.90934,1.05103,1.5168,0.0017624,0.0017624,0.0017624
14,1502.52,1.04708,1.86512,1.01086,1.2924,0.76994,0.60756,0.69723,0.47058,0.75478,0.61231,0.69368,0.40406,1.09444,1.99545,1.01524,1.55971,0.0017426,0.0017426,0.0017426
15,1611.7,1.05212,1.87188,1.00232,1.28645,0.71832,0.64308,0.71892,0.50016,0.73937,0.62462,0.70821,0.44657,0.98796,1.79288,0.94875,1.47982,0.0017228,0.0017228,0.0017228
16,1720.14,0.99254,1.7615,0.94476,1.25269,0.7033,0.56,0.63716,0.45389,0.69944,0.55692,0.62666,0.37478,1.0079,2.02291,1.00239,1.48167,0.001703,0.001703,0.001703
