epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7371,1.37653,10.0306,0.66434,1.343,1.70982,0.01753,0.10476,0.00934,0.00191,0,0,0,0,4.49545,11.7053,0.80478,88.7491,19.9222,0.070219,0.003309,0.003309
2,193.567,1.2408,9.00828,0.52064,1.03572,1.57249,0.23893,0.39524,0.17636,0.0842,0.00011,0.00952,5e-05,1e-05,1.86031,8.81598,0.40837,3.86556,2.63283,0.0401532,0.00657658,0.00657658
3,295.084,1.11039,8.52137,0.4551,0.90018,1.4552,0.06507,0.21429,0.03766,0.0123,0.00524,0.00476,0.00011,7e-05,3.16888,10.7479,1.09441,3.68213,4.97807,0.0100215,0.00977815,0.00977815
4,394.904,1.03398,8.10362,0.4229,0.83103,1.39175,0.94581,0.90476,0.94679,0.69943,0.02311,0.01429,0.00116,0.0002,0.89322,6.67684,0.2903,0.83623,1.51445,0.009703,0.009703,0.009703
5,496.627,0.9902,7.80994,0.39255,0.78048,1.3686,0.85095,0.8381,0.90075,0.65991,0.08703,0.08571,0.01003,0.00132,0.97471,6.38016,0.28679,0.91333,1.58922,0.009604,0.009604,0.009604
6,593.153,0.93815,7.30018,0.37678,0.72835,1.31992,0.96855,0.99048,0.99335,0.80994,0.25259,0.22857,0.10177,0.01299,0.73817,5.64946,0.20919,0.56447,1.27533,0.009505,0.009505,0.009505
7,689.022,0.8739,6.86495,0.34743,0.68204,1.26793,0.98105,0.98635,0.99462,0.8068,0.39932,0.41429,0.21534,0.0312,0.77333,4.85374,0.17248,0.51858,1.26702,0.009406,0.009406,0.009406
8,789.728,0.861,6.63878,0.34508,0.67818,1.26136,0.93255,0.92176,0.95578,0.76706,0.32331,0.34286,0.1219,0.01954,0.73302,5.0733,0.2473,0.80708,1.25786,0.009307,0.009307,0.009307
9,885.237,0.83368,6.40563,0.33608,0.65728,1.25332,0.97657,0.99255,0.99066,0.84797,0.49769,0.48571,0.31261,0.04639,0.61661,4.50349,0.16623,0.456,1.16163,0.009208,0.009208,0.009208
10,984.351,0.80281,6.26816,0.32612,0.62302,1.22968,0.9569,0.97619,0.99144,0.83847,0.46087,0.45999,0.33796,0.05946,0.65046,4.58232,0.20111,0.47055,1.15944,0.009109,0.009109,0.009109
11,1085.41,0.81094,6.16311,0.31733,0.62605,1.22215,0.97565,0.99048,0.99308,0.88047,0.49672,0.47143,0.37899,0.0638,0.60673,4.45257,0.15598,0.43389,1.12398,0.00901,0.00901,0.00901
12,1185.56,0.77235,6.05437,0.30619,0.60653,1.2042,0.981,0.99524,0.99472,0.853,0.6469,0.6381,0.53079,0.09039,0.67027,4.20242,0.19435,0.48093,1.16625,0.008911,0.008911,0.008911
13,1288.06,0.7719,5.92358,0.29464,0.59426,1.2029,0.986,0.99524,0.99486,0.8824,0.60658,0.59048,0.4321,0.06488,0.56381,4.23963,0.17005,0.40363,1.0917,0.008812,0.008812,0.008812
14,1383.96,0.76103,5.88956,0.28629,0.58362,1.18748,0.97266,0.98571,0.98902,0.87128,0.67156,0.66667,0.53368,0.10677,0.57047,4.1029,0.15718,0.41603,1.08258,0.008713,0.008713,0.008713
15,1486.32,0.72808,5.68112,0.2788,0.56152,1.17435,0.9904,0.98248,0.99476,0.88372,0.56952,0.58095,0.3753,0.06158,0.54595,4.24329,0.19065,0.37844,1.08965,0.008614,0.008614,0.008614
16,1580.85,0.74326,5.74973,0.27106,0.57271,1.18312,0.96698,0.99524,0.99057,0.89435,0.64928,0.61709,0.51547,0.09128,0.51643,4.12087,0.1288,0.37942,1.04183,0.008515,0.008515,0.008515
17,1681.19,0.70843,5.68721,0.2663,0.53437,1.14951,0.98584,0.9946,0.99481,0.89238,0.65397,0.65714,0.52753,0.11089,0.51388,4.07193,0.1149,0.36718,1.05855,0.008416,0.008416,0.008416
18,1781.06,0.70294,5.6325,0.26353,0.53734,1.15725,0.9905,0.99261,0.995,0.89106,0.62341,0.61429,0.47265,0.0756,0.5257,4.34691,0.16057,0.35886,1.03873,0.008317,0.008317,0.008317
19,1877.24,0.70843,5.57536,0.25891,0.52901,1.14303,0.99519,0.9845,0.99462,0.90249,0.7326,0.72381,0.60349,0.10942,0.47864,3.92404,0.11717,0.36263,1.01046,0.008218,0.008218,0.008218
20,1977.46,0.68899,5.5557,0.25858,0.53649,1.14677,0.98263,0.99524,0.99447,0.888,0.65578,0.67143,0.55654,0.10779,0.52302,4.06038,0.12574,0.37792,1.0332,0.008119,0.008119,0.008119
21,2073.59,0.68266,5.58386,0.25251,0.51971,1.13349,0.98962,0.99048,0.99495,0.90215,0.67132,0.67143,0.60023,0.1327,0.4946,3.98968,0.12352,0.33496,1.0174,0.00802,0.00802,0.00802
22,2171.77,0.67165,5.41769,0.2468,0.51688,1.13882,0.98076,0.99524,0.99457,0.89212,0.69791,0.69524,0.62215,0.12993,0.50027,3.95688,0.12273,0.35193,1.0316,0.007921,0.007921,0.007921
23,2265.04,0.67042,5.53706,0.24551,0.50706,1.12759,0.99494,0.98571,0.99486,0.90472,0.73994,0.72857,0.68314,0.14593,0.4878,3.86885,0.10693,0.33889,1.02443,0.007822,0.007822,0.007822
24,2361.81,0.64119,5.28281,0.24242,0.48832,1.11069,0.99525,0.99729,0.995,0.92929,0.76259,0.76479,0.64952,0.13346,0.43594,3.80289,0.10095,0.31715,0.96895,0.007723,0.007723,0.007723
25,2461.52,0.62535,5.23002,0.24118,0.48013,1.10233,0.98991,1,0.99471,0.9113,0.78084,0.79048,0.69903,0.12676,0.48624,3.82565,0.10813,0.33586,1.0053,0.007624,0.007624,0.007624
26,2556.1,0.62658,5.23128,0.24084,0.47611,1.10113,0.99001,1,0.995,0.92028,0.79573,0.79763,0.69923,0.14658,0.42774,3.77181,0.13975,0.31276,0.96704,0.007525,0.007525,0.007525
27,2654.3,0.61424,5.09677,0.23112,0.46009,1.09424,0.97436,0.99048,0.99457,0.92473,0.74393,0.75714,0.7025,0.14594,0.43166,3.76931,0.0925,0.31949,0.96673,0.007426,0.007426,0.007426
28,2753.93,0.60204,5.09707,0.22881,0.46243,1.08478,0.98974,0.99524,0.99495,0.9313,0.82389,0.82857,0.75022,0.16045,0.42128,3.71899,0.10426,0.31239,0.95171,0.007327,0.007327,0.007327
29,2854.36,0.59253,4.97389,0.22793,0.45133,1.07865,0.98586,0.99629,0.99481,0.92468,0.74339,0.75714,0.65983,0.14912,0.41834,3.73667,0.12485,0.30573,0.94272,0.007228,0.007228,0.007228
30,2948.72,0.61113,4.9566,0.22556,0.45838,1.08394,0.98591,0.99951,0.99495,0.92457,0.7673,0.75714,0.69663,0.16295,0.40779,3.72059,0.09201,0.30065,0.94811,0.007129,0.007129,0.007129
