epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.971,1.40321,2.60125,1.66714,1.53352,0.21193,0.28272,0.15334,0.06896,0.2116,0.17016,0.09833,0.0414,2.04614,4.20666,3.90218,2.46175,0.000554263,0.000554263,0.000554263
2,282.113,1.57685,2.88211,1.60812,1.68411,0.36762,0.36387,0.31449,0.16433,0.39654,0.35864,0.32511,0.14787,1.70651,3.02843,3.00077,2.13662,0.00109894,0.00109894,0.00109894
3,420.253,1.49553,2.70514,1.52045,1.61764,0.43265,0.45288,0.40395,0.23302,0.45767,0.40576,0.36685,0.19053,1.52133,2.77227,2.37706,1.91772,0.00163262,0.00163262,0.00163262
4,558.552,1.42894,2.65136,1.44242,1.56317,0.77008,0.50262,0.61267,0.37406,0.72108,0.50082,0.56607,0.30825,1.38845,2.49853,1.30831,1.86093,0.00161749,0.00161749,0.00161749
5,696.894,1.3274,2.40971,1.32751,1.4935,0.6958,0.49099,0.56995,0.32762,0.67873,0.48168,0.54072,0.28583,1.46792,2.45061,1.31214,1.98019,0.00160099,0.00160099,0.00160099
6,831.254,1.25309,2.32753,1.25679,1.44839,0.73342,0.53141,0.63848,0.39611,0.7124,0.52356,0.62054,0.36725,1.1229,2.20946,1.33597,1.53086,0.00158448,0.00158448,0.00158448
7,972.105,1.21538,2.24565,1.17963,1.41669,0.74423,0.51047,0.63871,0.42921,0.70189,0.51309,0.62382,0.35969,1.11544,2.18742,1.09044,1.48487,0.00156798,0.00156798,0.00156798
8,1111.53,1.15339,2.15934,1.14215,1.37933,0.76428,0.58377,0.65671,0.45886,0.75239,0.57272,0.62436,0.39089,1.05188,2.01007,1.10188,1.46024,0.00155148,0.00155148,0.00155148
9,1251.83,1.11241,2.02317,1.06787,1.33743,0.7538,0.62827,0.71798,0.50664,0.69564,0.6623,0.71211,0.44598,0.95656,1.83251,0.84913,1.40586,0.00153497,0.00153497,0.00153497
10,1390.79,1.06844,1.95244,1.0228,1.32223,0.80548,0.63955,0.73775,0.52035,0.78439,0.63874,0.71786,0.45345,0.94518,1.79504,0.82461,1.36218,0.00151847,0.00151847,0.00151847
11,1529.91,1.04746,1.92966,1.00391,1.31089,0.78042,0.59162,0.71324,0.50496,0.77697,0.58901,0.70469,0.44299,0.94564,1.75162,0.88778,1.3611,0.00150197,0.00150197,0.00150197
12,1669.74,1.02432,1.85353,0.9715,1.29966,0.77825,0.60637,0.71574,0.51616,0.75077,0.59424,0.69357,0.43641,0.95285,1.82844,0.79154,1.38004,0.00148546,0.00148546,0.00148546
13,1805.18,1.0166,1.83891,0.96095,1.28073,0.77317,0.6246,0.72166,0.52747,0.75518,0.62179,0.70934,0.46376,0.86863,1.56864,0.81796,1.28081,0.00146896,0.00146896,0.00146896
14,1944.47,0.96982,1.73249,0.91812,1.25266,0.76772,0.63874,0.74298,0.55321,0.76991,0.62304,0.72323,0.47972,0.87317,1.6672,0.74834,1.31783,0.00145246,0.00145246,0.00145246
15,2083.53,0.9426,1.70973,0.88967,1.2253,0.78808,0.66196,0.75765,0.55839,0.78246,0.64968,0.7493,0.48457,0.87479,1.84686,0.71928,1.33903,0.00143595,0.00143595,0.00143595
16,2222.76,0.92564,1.65881,0.88091,1.21742,0.84479,0.61267,0.76292,0.56328,0.84479,0.61267,0.75633,0.49076,0.85799,1.52063,0.7449,1.29809,0.00141945,0.00141945,0.00141945
17,2364,0.90219,1.62889,0.84371,1.20838,0.74171,0.65707,0.73334,0.54315,0.73964,0.65444,0.72817,0.47824,0.86559,1.60605,0.78672,1.30778,0.00140295,0.00140295,0.00140295
18,2499.07,0.89745,1.58995,0.84232,1.20605,0.70867,0.68848,0.7447,0.54273,0.71431,0.6623,0.73671,0.49241,0.85093,1.57483,0.76703,1.27434,0.00138644,0.00138644,0.00138644
19,2633.98,0.86972,1.57208,0.80732,1.18704,0.79934,0.65696,0.76094,0.56469,0.77986,0.63991,0.74247,0.48074,0.78776,1.67586,0.70894,1.24166,0.00136994,0.00136994,0.00136994
20,2768.92,0.85911,1.5232,0.80434,1.1762,0.76178,0.68325,0.76036,0.57429,0.74785,0.67016,0.75189,0.50038,0.78428,1.72824,0.68684,1.22931,0.00135344,0.00135344,0.00135344
21,2908.33,0.85615,1.54588,0.81394,1.1804,0.78671,0.68586,0.76846,0.5824,0.78039,0.68063,0.76334,0.50681,0.79013,1.61681,0.69061,1.25701,0.00133693,0.00133693,0.00133693
22,3050.54,0.86038,1.53183,0.80268,1.18378,0.81182,0.68063,0.78141,0.60696,0.81009,0.67539,0.78207,0.5336,0.71846,1.45944,0.64721,1.17797,0.00132043,0.00132043,0.00132043
23,3189.46,0.85563,1.52003,0.77115,1.17415,0.81085,0.68063,0.78463,0.6022,0.80371,0.67277,0.77364,0.53681,0.73276,1.42491,0.63872,1.15654,0.00130393,0.00130393,0.00130393
24,3324.12,0.81795,1.45528,0.75092,1.14902,0.78466,0.69895,0.77964,0.59721,0.77843,0.69372,0.77357,0.53794,0.7668,1.54982,0.65963,1.2303,0.00128742,0.00128742,0.00128742
25,3459.01,0.79825,1.46162,0.75363,1.1445,0.84263,0.63874,0.78339,0.60343,0.84263,0.63874,0.77749,0.53259,0.76301,1.50046,0.64664,1.20468,0.00127092,0.00127092,0.00127092
26,3594.13,0.80213,1.42646,0.75052,1.14417,0.78426,0.67564,0.7909,0.60856,0.77559,0.66951,0.76826,0.52983,0.73728,1.51651,0.6373,1.17837,0.00125442,0.00125442,0.00125442
27,3733.62,0.79467,1.40938,0.73232,1.13332,0.79491,0.67801,0.78161,0.60865,0.76478,0.6911,0.76823,0.53629,0.71042,1.40528,0.63732,1.15986,0.00123791,0.00123791,0.00123791
28,3872.2,0.78505,1.38923,0.707,1.13291,0.80971,0.67801,0.79338,0.62769,0.808,0.67539,0.79522,0.55563,0.68249,1.39309,0.62405,1.11967,0.00122141,0.00122141,0.00122141
29,4010.8,0.76687,1.32152,0.69914,1.11263,0.8129,0.68242,0.79311,0.59919,0.80492,0.69129,0.78316,0.54148,0.73383,1.46562,0.6466,1.16712,0.00120491,0.00120491,0.00120491
30,4145.69,0.76519,1.35182,0.72249,1.12283,0.80052,0.71204,0.79748,0.61269,0.79471,0.70937,0.79169,0.55241,0.74835,1.46255,0.63807,1.19644,0.0011884,0.0011884,0.0011884
31,4280.8,0.76007,1.35104,0.70598,1.11389,0.7925,0.68325,0.78253,0.60656,0.78339,0.67539,0.76856,0.53955,0.72148,1.4519,0.62845,1.17695,0.0011719,0.0011719,0.0011719
32,4419.42,0.72416,1.30634,0.66145,1.0973,0.7803,0.67872,0.77661,0.6074,0.77747,0.67682,0.76836,0.54752,0.69427,1.3452,0.61274,1.14889,0.0011554,0.0011554,0.0011554
33,4554.14,0.73525,1.32238,0.67851,1.11125,0.83127,0.65969,0.80127,0.62682,0.83332,0.6623,0.79268,0.54613,0.68279,1.39373,0.58788,1.13706,0.00113889,0.00113889,0.00113889
34,4688.93,0.74882,1.28794,0.68171,1.10673,0.82971,0.71204,0.80743,0.62801,0.82761,0.70942,0.79699,0.55181,0.68873,1.35928,0.5931,1.13615,0.00112239,0.00112239,0.00112239
35,4823.68,0.73217,1.2958,0.67366,1.09322,0.8521,0.6787,0.80544,0.63527,0.84224,0.67084,0.79492,0.55564,0.67471,1.29085,0.57786,1.14799,0.00110589,0.00110589,0.00110589
36,4962.18,0.69217,1.20307,0.64007,1.07192,0.8062,0.68848,0.80139,0.63253,0.80007,0.68325,0.79418,0.56386,0.67241,1.39222,0.58232,1.15754,0.00108938,0.00108938,0.00108938
37,5105.5,0.71227,1.26469,0.64158,1.0822,0.82952,0.68784,0.81727,0.64717,0.82095,0.70817,0.82053,0.57581,0.64443,1.29397,0.56566,1.09765,0.00107288,0.00107288,0.00107288
38,5243.6,0.70466,1.23965,0.64754,1.08045,0.81189,0.66661,0.77867,0.60975,0.81943,0.65969,0.77453,0.54416,0.70977,1.38023,0.62251,1.13442,0.00105638,0.00105638,0.00105638
39,5378.76,0.70117,1.24291,0.64645,1.07975,0.84742,0.6911,0.81197,0.64367,0.83203,0.68728,0.80693,0.57169,0.66173,1.33682,0.57722,1.13493,0.00103987,0.00103987,0.00103987
40,5513.89,0.69407,1.23612,0.64558,1.07273,0.80328,0.71466,0.81374,0.62972,0.80458,0.72251,0.80736,0.56428,0.70353,1.38011,0.58092,1.16577,0.00102337,0.00102337,0.00102337
41,5648.79,0.66106,1.17169,0.59492,1.05751,0.75656,0.7356,0.79726,0.62616,0.75387,0.73298,0.78997,0.56128,0.65941,1.40953,0.57568,1.10876,0.00100687,0.00100687,0.00100687
42,5787.72,0.67314,1.17442,0.61085,1.05608,0.87173,0.65828,0.79418,0.63629,0.8296,0.67548,0.78437,0.56001,0.63708,1.38136,0.57492,1.08749,0.000990365,0.000990365,0.000990365
43,5924.31,0.65632,1.14997,0.58488,1.05997,0.78281,0.73822,0.79637,0.63622,0.78353,0.73822,0.79362,0.55099,0.64434,1.41995,0.53673,1.11843,0.000973861,0.000973861,0.000973861
44,6060.52,0.66778,1.1806,0.60194,1.05339,0.80139,0.73037,0.81557,0.65707,0.80126,0.7356,0.81562,0.58576,0.63045,1.33454,0.52927,1.09454,0.000957358,0.000957358,0.000957358
